name,arabic_name
2000 Center,‫مركز 2000‬
Safi Trading Establishment,‫مؤسسة صافي التجارية‬
Saae Carwash,‫Saae غسيل السيارات‬
Quraish,‫قريش‬
Qutbah Charcoal,‫قطبة فحم‬
Moon Light,‫ضوء القمر‬
3S Shoes,‫أحذية 3S‬
621 Shopping Center,‫621 مركز تسوق‬
A.A. Aqeel Trading Center (ATE),‫مركز عقيل التجاري (ATE)‬
A. Ghani Hauti Couture,‫أ. غني هوتي كوتور‬
Abayat,‫عبايات‬
Abayat Al-Hijhab Al-Aswad,‫عباية الحجاب الأسود‬
Abayat Al-Manae,‫عبايات المناعي‬
Abayat Al-Namer,‫عبايات النمر‬
Abayat Al-Nemra,‫عبايات النمرة‬
Abayat Anmol,‫عبايات عنمول‬
Abayat Remas,‫عبايات رماس‬
Abdul Hamid Zainal Trading Est.,‫مؤسسة عبد الحميد زينل التجارية‬
Abdul Khaliq Est.,‫مؤسسة عبد الخالق‬
Abdul Salam,‫عبد السلام‬
Abdullah Fauad Pharmacy,‫صيدلية عبدالله فؤاد‬
Abdullah Saleh Trading Est.,‫مؤسسة عبدالله صالح التجارية‬
Abna Al-Deera,‫أبنة الديرة‬
Abood Ahmad Baasem,‫عبود أحمد باعم‬
Abu Al-Noor,‫أبو النور‬
Abu Al-Saud Al-Ahab,‫أبو السعود الأهب‬
Abu Al-Saud For Electrical Materials,‫أبو السعود للمواد الكهربائية‬
Abusrau,‫أبو سرو‬
ADANAN,‫أدنان‬
Adawliah,‫عدولية‬
ADCO,‫أدكو‬
Adel Al-Ghareeb,‫عادل الغريب‬
Adnok Carwash (AD),‫أدنوك لغسيل السيارات (AD)‬
AFI,‫AFI‬
Afrahiya Lil-Jalabiyat,‫أفراحية ليل جلبيات‬
Ahlya Remosh,‫الأهلية ريموش‬
Ahmad G. Al-Ghamdi (AGG),‫أحمد غ. الغامدي (AGG)‬
Ahmad Saad (Busaad Plastic),‫أحمد سعد (بوسعد بلاستيك)‬
Ahmed Libnani,‫أحمد لبناني‬
Ahram,‫الأهرام‬
Ahzia Shoes,‫أحذية اهزيا‬
Aitha S. Al-Seaari Trading,‫آيثاء صالح السعيري للتجارة‬
Ajami Restaurant,‫مطعم عجمي‬
Alam Al-Jadeed Exchange,‫عالم الجديد للصرافة‬
Alam Al-Tawfeer,‫عالم التوفير‬
Alam Atha,‫عالم آثا‬
Alam Mazaya,‫عالم مزايا‬
ALAMCO (Malaz Brand),‫ألامكو (ماركة الملاز)‬
Alfanater Hospital,‫مستشفى الفناتر‬
Alfar,‫الفار‬
Ali Fashions,‫أزياء علي‬
Ali Saad Ali Qahtani,‫علي سعد علي القحطاني‬
Alia Restaurant,‫مطعم علياء‬
Alibaba Restaurant,‫مطعم علي بابا‬
Alins Coffee,‫قهوة ألينس‬
Almira Optics,‫الميرا للبصريات‬
Unamed1,‫Unamed1‬
Alukaizoom Al-Namoodiya,‫العقيزوم النامودية‬
Unamed2,‫Unamed2‬
Ameen Center,‫مركز أمين‬
Ameri Center,‫المركز العامري‬
Amrou Al-Atour Ferfumes,‫عمرو العطور Ferfumes‬
Annual Charity Run,‫السباق الخيري السنوي‬
Hezaa,‫هزاع‬
Bazar,‫بازار‬
Anwar Al-Basim Shoes,‫أحذية أنور البسم‬
Anwar Al-Fahad,‫أنور الفهد‬
Anwar Al-Safeer,‫أنور السفير‬
Anowar Al-Tahany,‫أنوار الطحاني‬
Anyah,‫أنيا‬
Apex Auto Parts1,‫قطع غيار السيارات أبيكس1‬
Apple,‫تفاح‬
Arab National Bank,‫البنك العربي الوطني‬
Arabian Center,‫المركز العربي‬
Arabian Food Supply,‫التوريد الغذائي العربي‬
Arabic Readymade Textiles,‫المنسوجات العربية الجاهزة‬
Arab Trading Company,‫الشركة العربية للتجارة‬
Aran,‫اران‬
Arif Center,‫مركز عارف‬
Armed Forces Hospital,‫مستشفى القوات المسلحة‬
Arusha Restaurant,‫مطعم أروشا‬
Asawer Al-Sharq,‫أساوير الشرق‬
ASDAF,‫أصداف‬
Asef,‫آصف‬
ASH First Shoes,‫حذاء ASH فيرست‬
ASK Varied Foods,‫اسأل الأطعمة المتنوعة‬
ASMA,‫أسماء‬
Assamar Charcoal,‫فحم أسمر‬
Assel Exhibition,‫معرض أسيل‬
Assel Textiles,‫أسيل للمنسوجات‬
Assorte,‫متنوعة‬
Astoon,‫أستون‬
Aswar Al-Mandi,‫أسوار المندي‬
ATC,‫ATC‬
ATE,‫اكلت‬
Athwaq,‫أثواق‬
Atlantic Systems,‫أنظمة الأطلسي‬
Atwi Trading Est.,‫مؤسسة عطوي للتجارة‬
Atyaf Dubai Center,‫أطياف دبي سنتر‬
Awad,‫عوض‬
Awael Ebayat (First Shoe),‫عوائل عبيات (الحذاء الأول)‬
Awal Plastic Factory,‫مصنع أوال للبلاستيك‬
Awaridh Liltajmeel,‫عوريد ليلتاجميل‬
Awael Al-Itor,‫عائل العطور‬
Ayshana Foods,‫عائشانا للأغذية‬
Azizia (VMC),‫عزيزية (VMC)‬
Baby Bancy,‫بيبي بانسي‬
Badariya Charcoal,‫فحم البدارية‬
Badeea Charcoal,‫باديع فحم‬
Badghaish,‫بادغيش‬
Bahrain Center,‫مركز البحرين‬
Baidan Mutton Cubes,‫مكعبات لحم ضأن بيدان‬
baihagi Bank Alikbar,‫بنك البيهاجي الإكبار‬
Baith Al-Asaar,‫بيت العصار‬
Bakhaswain,‫باخاسوين‬
Baladi,‫بلدي‬
Baowabat Al-Hayat Plaza,‫باوابات الحياة بلازا‬
